,brgy_name,brgy_id,total_area,population,ndvi_mean,canopy_cover_pct,green_space_area,green_space_ratio,proximity_to_parks,vulnerable_group_access,mean_lst,heat_anomaly,flood_exposure,storm_surge_exposure,landslide_exposure,air_quality_score,fragmentation_index,ecological_connectivity,mean_patch_size,edge_density
Tabok,Tabok,PH072230023,0.5610392029052984,0.624016965626933,0.37284964698209466,0.6484090723645738,0.3550508417864269,0.37284964698209466,0.8118029583076755,0.8244672765142137,0.07844986842052415,0.07844986842052415,0.7633710098734202,0.6815845054631645,0.8881179013980635,0.10171424540280212,0.30875112468900157,0.948715545120255,0.5816288695379631,0.8738183992721977
Alang-alang,Alang-alang,PH072230001,0.30868795977279073,0.9577626579482195,0.979779803001129,1.0,0.3500347445142554,0.979779803001129,0.07033931233948446,0.5179559796693287,0.6776101905473457,0.6776101905473464,0.8248245164452152,0.5624015361671917,0.7212006560621437,0.4902872780740419,0.5651464914903574,0.7185000583667311,0.527922729577056,1.0
Jagobiao,Jagobiao,PH072230014,0.5044231306453114,0.7098170893346293,0.7493842249349,0.7595880104351722,0.4631077067856915,0.7493842249349,1.0,0.5499563337620588,0.8931420052181304,0.8931420052181304,0.619960527615349,0.36521721261605833,0.41191738905086395,0.0,0.3812353848289195,0.6031209739398048,0.3219728723044327,0.6519450012876774
Cambaro,Cambaro,PH072230006,0.1334854269485054,0.579305469647433,0.6089313691151966,0.5669030235938534,0.12186215563299133,0.6089313691151966,0.7812819829650426,0.4446880913691039,0.7709616792998499,0.7709616792998499,0.7450938644796548,0.7759056559109322,0.6881940130076885,0.4658738815231482,0.42720201559153326,0.40260520928476295,0.11076457289814863,0.40405983808265233
Cubacub,Cubacub,PH072230011,0.25230468386255706,0.1921003799593532,0.14266357158208742,0.1258885288842533,0.11579432994424524,0.14266357158208742,0.19686212566041011,0.0,0.5645287989438099,0.5645287989438099,0.347757435371267,0.5444597506445529,0.6379776080059085,0.045791687321923215,0.0904081162412359,0.9311767176871907,0.045667709859697425,0.6087994726091938
Tawason,Tawason,PH072230024,0.5101033615792904,0.11381108067509058,0.1426381639533602,0.2771667816991075,0.23525556117377888,0.1426381639533602,0.0,0.09120232087190913,0.15937245361162167,0.1593724536116229,0.7497511500192313,0.7882083667968629,0.7933745841325469,0.10947743549230514,1.0,0.8626869185463936,0.39146894143991307,0.5619517840224858
Tingub,Tingub,PH072230025,0.42592420150852034,0.27984448175311477,0.03950080713811797,0.11727958546633241,0.16249681674491076,0.03950080713811797,0.8253192852001197,0.006646247558141924,0.11509955636490765,0.11509955636490765,0.6368166016667945,0.29124206174701006,0.705098208302924,0.10816156872654127,0.7496537727951306,0.019367834874310014,0.1887617220744788,0.07858604963968985
Ibabao-Estancia,Ibabao-Estancia,PH072230013,0.19945991246857248,0.6522046478748785,0.8907290261157434,0.8166838027833238,0.22248034678910858,0.8907290261157434,0.7146529127647342,0.675667139297943,1.0,1.0,0.9957546284508215,0.9684716272028531,0.8028360334924556,0.6498058385646743,0.038053376347690016,0.0,0.13963944818635624,0.6543604554431006
Tipolo,Tipolo,PH072230026,0.9912468572492783,0.0,0.6115190252078284,0.5198267907361952,0.7894148163319435,0.6115190252078284,0.7372233409620447,0.31952196823540036,0.4778404516744469,0.47784045167444755,0.7214113423215687,0.5602596748941016,0.0,0.7484544501009212,0.10198830254012203,0.35968165720373513,1.0,0.48270214622392726
Banilad,Banilad,PH072230003,0.8612068162771208,0.689582044711496,0.7241859472136266,0.7084413696984202,0.7580190123243943,0.7241859472136266,0.7802890569997211,0.53429507695192,0.5745790523127788,0.5745790523127788,0.7787619348283521,0.9973987465404871,0.8819407643999114,0.5827308701026449,0.5639605536928922,0.8056565400942629,0.9068906855249184,0.2033992974827773
