brgy_name,domain_quantity,domain_accessibility,domain_environmental,domain_connectivity,gi_score,gi_level,gi_rank
Tabok,0.4647027887762543,0.8181351174109446,0.40627990728997776,0.6130318464490733,0.5755374149815625,Medium,8
Alang-alang,0.9865198686674193,0.29414764600440657,0.6387808803084487,0.6038564264780483,0.6308262053645807,High,4
Jagobiao,0.7527854867683241,0.7749781668810294,0.4695799363623845,0.4354430770243856,0.608196666759031,High,6
Cambaro,0.5949219206080821,0.6129850371670733,0.6894587703033963,0.31352393259148165,0.5527224151675084,Medium,11
Cubacub,0.13707189068280937,0.09843106283020506,0.3756344180703882,0.35575084792937467,0.24172205487819431,Low,27
Tawason,0.187481036535276,0.045601160435954566,0.45170235148000526,0.7513852866621024,0.3590424587783345,Low,25
Tingub,0.0654270665808561,0.4159827663791308,0.2878299471263134,0.3192611099146398,0.272125222500235,Low,26
Ibabao-Estancia,0.866047285004937,0.6951600260313386,0.9035080235545871,0.05923094151134875,0.6309865690255528,High,3
Tipolo,0.5809549470506173,0.5283726545987225,0.6269914797477596,0.48722331991461904,0.5558856003279297,Medium,10
Banilad,0.7189377547085578,0.6572920669758205,0.7333676509460657,0.7588359264373579,0.7171083497669505,High,1
Casuntingan,0.0,0.522674930258356,0.6097707666421257,0.4850545263404286,0.4043750558102276,Medium,24
Umapad,0.9932283451929215,0.3036083165774711,0.6463131645455031,0.47416224399838863,0.6043280175785711,High,7
Casili,0.8445989396221115,0.2690780344629846,0.5146057100951836,0.536175430497676,0.541114528669489,Medium,13
Subangdaku,0.22722369989810645,0.8406426722598084,0.6164220521660482,0.47532803995108647,0.5399041160687624,Medium,14
Mantuyong,0.14193820376282906,0.42720725200046217,0.712156144554695,0.5481352497287052,0.4573592125116729,Medium,17
Guizo,0.2203722074076024,0.19428659111502314,0.7849846027445706,0.4405068479226883,0.4100375622974711,Medium,21
Canduman,0.399559004421472,0.17572561940668316,0.20735995665626966,0.8349856782665279,0.4044075646877382,Medium,23
Basak,0.5746346837699721,0.23071898040451544,0.6801950681441628,0.23134983796047195,0.42922464256978055,Medium,20
Pagsabungan,0.44744167770696525,0.6628656329220819,0.4756775215463841,0.28478988897420837,0.4676936802874099,Medium,16
Opao,0.32437797432551324,0.8016935078977031,0.6167624754853532,0.30811127296115864,0.5127363076674321,Medium,15
Cabancalan,0.5924010117503559,0.6581896600415744,0.652032758150039,0.3799841281340643,0.5706518895190084,Medium,9
Centro (Pob.),0.0880486027594261,0.917015700847557,0.6747362626903948,0.5268664835663533,0.5516667624659328,Medium,12
Pakna-an,0.32179790598997404,0.6680944877034878,0.3394779106799722,0.4078719561781934,0.43431056513790683,Medium,19
Maguikay,0.3553535957072928,0.14722382404991585,0.7315312125467763,0.5857484055659402,0.4549642594674813,Medium,18
Bakilid,0.42123678710773876,0.8400458598416402,0.8117981969141115,0.662073635149561,0.6837886197532628,High,2
Labogon,0.7747847936701645,0.6689642858666164,0.6081604241919227,0.4584171041734743,0.6275816519755444,High,5
Looc,0.16467395956868927,0.7155546998071215,0.3998956546607233,0.34807429238651455,0.4070496516057621,Medium,22
