brgy_name,domain_quantity,domain_accessibility,domain_environmental,domain_connectivity,gi_score,gi_level,gi_rank,priority_score,priority_rank,priority_level,gi_score_priority,gi_level_priority,population,area,cost_effectiveness,brgy_id,total_area,ndvi_mean,canopy_cover_pct,green_space_area,green_space_ratio,proximity_to_parks,vulnerable_group_access,mean_lst,heat_anomaly,flood_exposure,storm_surge_exposure,landslide_exposure,air_quality_score,fragmentation_index,ecological_connectivity,mean_patch_size,edge_density
Tabok,0.464702789,0.818135117,0.406279907,0.613031846,0.575537415,Medium,8,0,1,Low,0,0,10195,1.3382,0,PH072230023,1.3382,0.349816048,22.60977844,0.468123835,0.349816048,0.802196981,0.68548359,33.3765478,3.3765478,0.242202373,0.120135052,0.058706257,0.455598741,0.547874344,0.479919965,0.089746295,0.368185738
Alang-alang,0.986519869,0.294147646,0.63878088,0.603856426,0.630826205,High,4,0,1,Low,0,0,13972,0.7962,0,PH072230001,0.7962,0.580285723,29.80275217,0.462023492,0.580285723,0.074550644,0.546897798,29.90802085,-0.09197915,0.199310745,0.163805521,0.137325533,0.646312552,0.427270532,0.390287803,0.081984733,0.307272333
Jagobiao,0.752785487,0.774978167,0.469579936,0.435443077,0.608196667,High,6,0,1,Low,0,0,11166,1.2166,0,PH072230014,1.2166,0.492797577,24.88431717,0.599537532,0.492797577,0.986886937,0.561366415,28.66031155,-1.339688453,0.342296077,0.236056884,0.283000276,0.405676822,0.51377904,0.345366078,0.052221047,0.475293779
Cambaro,0.594921921,0.612985037,0.68945877,0.313523933,0.552722415,Medium,11,0,1,Low,0,0,9689,0.4199,0,PH072230006,0.4199,0.439463394,20.94229836,0.184530679,0.439463394,0.772244769,0.513770509,29.36761098,-0.632389025,0.254958952,0.085574335,0.15287191,0.634330321,0.492157156,0.267297215,0.021697416,0.594958843
Cubacub,0.137071891,0.098431063,0.375634418,0.355750848,0.241722055,Low,27,0,1,Low,0,0,5307,0.6751,0,PH072230011,0.6751,0.262407456,11.91986511,0.177151274,0.262407456,0.198715682,0.312709563,30.56264673,0.562646732,0.532280904,0.170379667,0.176524214,0.428151638,0.650579005,0.473091393,0.012289677,0.496122023
Tawason,0.187481037,0.04560116,0.451702351,0.751385287,0.359042459,Low,25,0,1,Low,0,0,4421,1.2288,0,PH072230024,1.2288,0.262397808,15.01477005,0.322434427,0.262397808,0.005522117,0.353945713,32.9080886,2.908088596,0.251708388,0.081066433,0.103331071,0.459408958,0.22272319,0.446425556,0.062264556,0.518737461
Tingub,0.065427067,0.415982766,0.287829947,0.31926111,0.272125223,Low,26,0,1,Low,0,0,6300,1.048,0,PH072230025,1.048,0.223233445,11.74374025,0.23394865,0.223233445,0.815461428,0.315714593,33.1643835,3.1643835,0.330531338,0.263162514,0.144909907,0.458763123,0.340481595,0.118087468,0.032969493,0.752079347
Ibabao-Estancia,0.866047285,0.695160026,0.903508024,0.059230942,0.630986569,High,3,0,1,Low,0,0,10514,0.5616,0,PH072230013,0.5616,0.546470458,26.05240343,0.306897809,0.546470458,0.706857344,0.618205206,28.04171278,-1.958287217,0.080009647,0.015015208,0.098874657,0.724605151,0.675205742,0.11054679,0.025870387,0.474127734
Tipolo,0.580954947,0.528372655,0.62699148,0.48722332,0.5558856,Medium,10,0,1,Low,0,0,3133,2.2622,0,PH072230026,2.2622,0.440446005,19.97919585,0.996376952,0.440446005,0.729007168,0.457177991,31.06448382,1.064483815,0.271488227,0.164590332,0.477016461,0.77302244,0.645131892,0.250585347,0.15020891,0.556994745
Banilad,0.718937755,0.657292067,0.733367651,0.758835926,0.71710835,High,1,0,1,Low,0,0,10937,1.9829,0,PH072230003,1.9829,0.483229031,23.83794078,0.958194846,0.483229031,0.771270347,0.554285346,30.50446602,0.504466019,0.231460238,0.004415867,0.061615734,0.691684383,0.427828376,0.424221332,0.136752836,0.691826506
Casuntingan,0,0.52267493,0.609770767,0.485054526,0.404375056,Medium,24,0,1,Low,0,0,10401,0.7908,0,PH072230009,0.7908,0.208233798,9.344392278,0.164671287,0.208233798,0.074044652,0.753783237,29.33264686,-0.667353137,0.774999073,0.115787095,0.113009937,0.881086274,0.510066299,0.494910452,0.017080432,0.498271391
Umapad,0.993228345,0.303608317,0.646313165,0.474162244,0.604328018,High,7,0,1,Low,0,0,8414,2.1302,0,PH072230027,2.1302,0.587963941,29.38714132,1.252480787,0.587963941,0.358465729,0.424646115,28.7191922,-1.280807796,0.377895095,0.090303385,0.012846174,0.58743529,0.338690591,0.160166756,0.083958345,0.61104335
Casili,0.84459894,0.269078034,0.51460571,0.53617543,0.541114529,Medium,13,0,1,Low,0,0,13327,0.389,0,PH072230008,0.389,0.532977056,26.18995191,0.207328075,0.532977056,0.11586906,0.505191462,30.02569103,0.025691028,0.422433118,0.143983767,0.07966573,0.542856043,0.29406058,0.337652286,0.0312518,0.731181854
Subangdaku,0.2272237,0.840642672,0.616422052,0.47532804,0.539904116,Medium,14,0,1,Low,0,0,9084,2.1616,0,PH072230022,2.1616,0.284935644,15.02548004,0.615916889,0.284935644,0.863103426,0.677775569,33.65745822,3.657458223,0.373815357,0.007985051,0.036732242,0.834299564,0.431849202,0.252356343,0.078865789,0.774760312
Mantuyong,0.141938204,0.427207252,0.712156145,0.54813525,0.457359213,Medium,17,0,1,Low,0,0,14312,0.1332,0,PH072230018,0.1332,0.272729987,11.10626112,0.036327634,0.272729987,0.623298127,0.414399083,29.93921759,-0.060782408,0.077046579,0.01805149,0.210412361,0.511797919,0.376676114,0.487965759,0.006024857,0.37353674
Guizo,0.220372207,0.194286591,0.784984603,0.440506848,0.410037562,Medium,21,0,1,Low,0,0,3904,0.3919,0,PH072230012,0.3919,0.273361804,15.85207473,0.107130491,0.273361804,0.330898025,0.338489955,31.11274373,1.11274373,0.098385221,0.101915929,0.276187297,0.88161127,0.491828056,0.436847569,0.01371533,0.763293813
Canduman,0.399559004,0.175725619,0.207359957,0.834985678,0.404407565,Medium,23,0,1,Low,0,0,13351,1.8807,0,PH072230007,1.8807,0.321696897,21.64147094,0.605015355,0.321696897,0.06355835,0.444875726,32.21811375,2.218113753,0.56253604,0.279866357,0.16391243,0.406077237,0.238867318,0.435331482,0.107588202,0.546058147
Basak,0.574634684,0.23071898,0.680195068,0.231349838,0.429224643,Medium,20,0,1,Low,0,0,3713,0.7074,0,PH072230004,0.7074,0.409902573,22.88240808,0.28996508,0.409902573,0.310982322,0.380610644,30.18177761,0.181777614,0.214140189,0.256142615,0.11801224,0.884939413,0.687197404,0.287477264,0.038503311,0.429122194
Pagsabungan,0.447441678,0.662865633,0.475677522,0.284789889,0.46769368,Medium,16,0,1,Low,0,0,14450,1.4296,0,PH072230021,1.4296,0.372778007,19.076177,0.532923439,0.372778007,0.325183322,0.764848826,33.8306925,3.830692496,0.093025241,0.042595299,0.170086431,0.421579956,0.693105372,0.265927801,0.071486721,0.529567878
Opao,0.324377974,0.801693508,0.616762475,0.308111273,0.512736308,Medium,15,0,1,Low,0,0,11652,1.0157,0,PH072230019,1.0157,0.316491656,17.58810488,0.321460575,0.316491656,0.729606178,0.70406019,33.77468377,3.77468377,0.383375148,0.003462728,0.056991264,0.845571557,0.549080857,0.209362829,0.058344464,0.790016288
Cabancalan,0.592401012,0.65818966,0.652032758,0.379984128,0.57065189,Medium,9,0,1,Low,0,0,7733,1.97,0,PH072230005,1.97,0.444741158,20.21888721,0.876140081,0.444741158,0.637557471,0.616701878,29.51069377,-0.489306225,0.426379559,0.063416888,0.035613171,0.663850555,0.468048183,0.122550199,0.096833131,0.546309047
Centro,0.088048603,0.917015701,0.674736263,0.526866484,0.551666762,Medium,12,0,1,Low,0,0,11376,0.3173,0,PH072230010,0.3173,0.255797544,9.623288786,0.081164561,0.255797544,0.887212743,0.735730295,30.98349104,0.983491035,0.428560011,0.109448761,0.006008948,0.896482398,0.354763808,0.445888951,0.005689821,0.464375805
Pakna-an,0.321797906,0.668094488,0.339477911,0.407871956,0.434310565,Medium,19,0,1,Low,0,0,5189,2.281,0,PH072230020,2.281,0.316857859,17.3902938,0.722752777,0.316857859,0.472214925,0.701836038,29.80526986,-0.194730141,0.495375806,0.297215828,0.006519992,0.436898282,0.60689751,0.425160404,0.039258053,0.616700427
Maguikay,0.355353596,0.147223824,0.731531213,0.585748406,0.454964259,Medium,18,0,1,Low,0,0,4861,1.2162,0,PH072230017,1.2162,0.346544737,16.25095354,0.42146771,0.346544737,0.119594246,0.393285029,29.70904297,-0.290957034,0.150050869,0.089175659,0.00696425,0.676927142,0.542365586,0.499887069,0.068813281,0.420072809
Bakilid,0.421236787,0.84004586,0.811798197,0.662073635,0.68378862,High,2,0,1,Low,0,0,13741,0.405,0,PH072230002,0.405,0.382427994,16.42804349,0.154883337,0.382427994,0.713244787,0.746279499,28.22132168,-1.778678316,0.411529839,0.083502746,0.033046893,0.884651268,0.28130847,0.498654735,0.022155509,0.337931664
Labogon,0.774784794,0.668964286,0.608160424,0.458417104,0.627581652,High,5,0,1,Low,0,0,6382,1.4291,0,PH072230015,1.4291,0.514070385,23.9423367,0.734657987,0.514070385,0.760785049,0.569671121,31.657386,1.657386004,0.375271454,0.016956033,0.340796631,0.661548922,0.655463592,0.322172682,0.114321573,0.364439861
Looc,0.16467396,0.7155547,0.399895655,0.348074292,0.407049652,Medium,22,0,1,Low,0,0,13842,0.9242,0,PH072230016,0.9242,0.279869513,11.73237103,0.258655404,0.279869513,0.561277198,0.703720078,31.01607414,1.016074139,0.437359846,0.369878076,0.092777082,0.714699319,0.611268621,0.407594966,0.02119542,0.364022919
