brgy_name,priority_score,priority_rank,priority_level,gi_score,gi_level,population,area,cost_effectiveness
Tabok,0.0,1,Low,,,10195,1.3382,0.0
Alang-alang,0.0,1,Low,,,13972,0.7962,0.0
Jagobiao,0.0,1,Low,,,11166,1.2166,0.0
Cambaro,0.0,1,Low,,,9689,0.4199,0.0
Cubacub,0.0,1,Low,,,5307,0.6751,0.0
Tawason,0.0,1,Low,,,4421,1.2288,0.0
Tingub,0.0,1,Low,,,6300,1.048,0.0
Ibabao-Estancia,0.0,1,Low,,,10514,0.5616,0.0
Tipolo,0.0,1,Low,,,3133,2.2622,0.0
Banilad,0.0,1,Low,,,10937,1.9829,0.0
Casuntingan,0.0,1,Low,,,10401,0.7908,0.0
Umapad,0.0,1,Low,,,8414,2.1302,0.0
Casili,0.0,1,Low,,,13327,0.389,0.0
Subangdaku,0.0,1,Low,,,9084,2.1616,0.0
Mantuyong,0.0,1,Low,,,14312,0.1332,0.0
Guizo,0.0,1,Low,,,3904,0.3919,0.0
Canduman,0.0,1,Low,,,13351,1.8807,0.0
Basak,0.0,1,Low,,,3713,0.7074,0.0
Pagsabungan,0.0,1,Low,,,14450,1.4296,0.0
Opao,0.0,1,Low,,,11652,1.0157,0.0
Cabancalan,0.0,1,Low,,,7733,1.97,0.0
Centro (Pob.),0.0,1,Low,,,11376,0.3173,0.0
Pakna-an,0.0,1,Low,,,5189,2.281,0.0
Maguikay,0.0,1,Low,,,4861,1.2162,0.0
Bakilid,0.0,1,Low,,,13741,0.405,0.0
Labogon,0.0,1,Low,,,6382,1.4291,0.0
Looc,0.0,1,Low,,,13842,0.9242,0.0
